City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Berlevag,NO,2022-07-20 20:38:43,70.8578,29.0864,55.2,94,100,2.3,overcast clouds
1,Wuchang,CN,2022-07-20 20:38:43,44.9143,127.15,67.19,94,97,3.87,overcast clouds
2,Makakilo City,US,2022-07-20 20:38:43,21.3469,-158.0858,80.69,69,40,13.8,scattered clouds
3,Ushuaia,AR,2022-07-20 20:38:44,-54.8,-68.3,33.42,93,100,21.85,snow
4,Bethel,US,2022-07-20 20:35:49,41.3712,-73.414,98.02,50,20,8.05,few clouds
5,Uberlandia,BR,2022-07-20 20:38:45,-18.9186,-48.2772,79.81,27,0,10.36,clear sky
6,Nemuro,JP,2022-07-20 20:38:45,43.3236,145.575,57.56,91,64,8.77,broken clouds
7,Lingao,CN,2022-07-20 20:38:46,19.9103,109.6859,79.93,87,1,13.78,clear sky
8,Umm Kaddadah,SD,2022-07-20 20:38:46,13.6017,26.6876,85.57,46,27,8.7,light rain
9,Cape Town,ZA,2022-07-20 20:38:14,-33.9258,18.4232,53.11,65,0,3.44,clear sky
10,Tuktoyaktuk,CA,2022-07-20 20:38:47,69.4541,-133.0374,57.2,77,100,14.97,overcast clouds
11,New Norfolk,AU,2022-07-20 20:38:47,-42.7826,147.0587,34.92,89,5,2.44,clear sky
12,Tazmalt,DZ,2022-07-20 20:38:48,36.3868,4.3989,80.87,43,0,5.35,clear sky
13,Ilulissat,GL,2022-07-20 20:38:48,69.2167,-51.1,48.83,61,100,6.26,overcast clouds
14,Kruisfontein,ZA,2022-07-20 20:34:06,-34.0033,24.7314,54.88,91,95,4.05,overcast clouds
15,Royan,FR,2022-07-20 20:38:49,45.6285,-1.0281,67.84,87,1,7.65,clear sky
16,Puerto Ayora,EC,2022-07-20 20:38:50,-0.7393,-90.3518,80.56,99,92,8.99,light rain
17,Sitka,US,2022-07-20 20:38:50,57.0531,-135.33,53.49,87,100,9.22,light rain
18,Qaanaaq,GL,2022-07-20 20:38:50,77.484,-69.3632,41.09,80,100,3.53,overcast clouds
19,East London,ZA,2022-07-20 20:38:51,-33.0153,27.9116,61.97,83,95,4.54,light rain
20,Chokurdakh,RU,2022-07-20 20:38:51,70.6333,147.9167,43.5,71,89,9.19,overcast clouds
21,Chuy,UY,2022-07-20 20:38:52,-33.6971,-53.4616,56.43,94,0,6.15,clear sky
22,Byron Bay,AU,2022-07-20 20:38:52,-28.65,153.6167,55.94,74,100,16.2,light rain
23,Kapaa,US,2022-07-20 20:38:53,22.0752,-159.319,82.72,73,20,14.97,few clouds
24,Nikolskoye,RU,2022-07-20 20:38:53,59.7035,30.7861,69.87,65,100,9.51,overcast clouds
25,Marrakesh,MA,2022-07-20 20:38:54,31.6315,-8.0083,96.87,24,75,4.61,broken clouds
26,Victoria,HK,2022-07-20 20:37:34,22.2855,114.1577,86.38,85,21,8.99,few clouds
27,Filingue,NE,2022-07-20 20:38:54,14.3521,3.3168,91.08,43,73,9.71,broken clouds
28,Flin Flon,CA,2022-07-20 20:38:55,54.7682,-101.865,67.84,64,75,11.5,broken clouds
29,Rikitea,PF,2022-07-20 20:38:55,-23.1203,-134.9692,73.31,75,0,2.71,clear sky
30,Mount Isa,AU,2022-07-20 20:38:56,-20.7333,139.5,49.77,43,0,1.14,clear sky
31,Sasciori,RO,2022-07-20 20:38:56,45.8667,23.5833,70.11,47,0,4.56,clear sky
32,Beringovskiy,RU,2022-07-20 20:38:56,63.05,179.3167,43.02,74,100,17.96,overcast clouds
33,Thunder Bay,CA,2022-07-20 20:36:27,48.4001,-89.3168,71.58,83,100,13.8,overcast clouds
34,Waingapu,ID,2022-07-20 20:38:57,-9.6567,120.2641,70.63,83,15,8.23,few clouds
35,Tiksi,RU,2022-07-20 20:38:58,71.6872,128.8694,38.26,90,86,18.66,overcast clouds
36,Maldonado,UY,2022-07-20 20:35:16,-34.6667,-54.9167,61.23,89,9,8.28,clear sky
37,Butaritari,KI,2022-07-20 20:38:59,3.0707,172.7902,81.43,78,61,8.86,light rain
38,Aykhal,RU,2022-07-20 20:38:59,66.0,111.5,52.54,63,100,3.44,overcast clouds
39,Shache,CN,2022-07-20 20:38:59,38.4167,77.2406,77.25,19,0,7.94,clear sky
40,Mataura,NZ,2022-07-20 20:39:00,-46.1927,168.8643,39.47,91,100,2.48,overcast clouds
41,Port Alfred,ZA,2022-07-20 20:39:00,-33.5906,26.891,56.17,97,100,8.66,overcast clouds
42,Zhigalovo,RU,2022-07-20 20:39:01,54.8097,105.1578,51.51,95,100,0.72,overcast clouds
43,Asyut,EG,2022-07-20 20:39:01,27.181,31.1837,87.98,23,5,8.23,clear sky
44,Lompoc,US,2022-07-20 20:39:02,34.6391,-120.4579,95.02,65,0,12.66,clear sky
45,Narsaq,GL,2022-07-20 20:39:02,60.9167,-46.05,57.42,82,94,3.15,overcast clouds
46,Bluff,NZ,2022-07-20 20:39:03,-46.6,168.3333,39.79,68,100,7.43,overcast clouds
47,Port Keats,AU,2022-07-20 20:40:57,-14.25,129.55,66.74,51,93,5.86,overcast clouds
48,Hithadhoo,MV,2022-07-20 20:40:58,-0.6,73.0833,80.83,69,100,2.13,overcast clouds
49,Ribeira Grande,PT,2022-07-20 20:40:58,38.5167,-28.7,75.6,78,20,8.05,few clouds
50,Albany,US,2022-07-20 20:38:23,42.6001,-73.9662,96.03,46,51,3.96,broken clouds
51,Nago,JP,2022-07-20 20:40:59,26.5881,127.9761,82.98,89,96,9.75,overcast clouds
52,Camopi,GF,2022-07-20 20:41:00,3.1655,-52.3158,75.02,93,51,3.83,broken clouds
53,Sahuaripa,MX,2022-07-20 20:41:00,29.05,-109.2333,95.04,43,3,6.55,clear sky
54,Castro,BR,2022-07-20 20:41:01,-24.7911,-50.0119,61.99,83,2,4.27,clear sky
55,Iracoubo,GF,2022-07-20 20:41:01,5.4802,-53.2011,79.66,79,5,8.46,clear sky
56,Haveli,PK,2022-07-20 20:41:02,30.4502,73.6989,82.22,81,82,12.64,broken clouds
57,Da Nang,VN,2022-07-20 20:41:02,16.0678,108.2208,80.58,89,20,3.44,few clouds
58,Cherskiy,RU,2022-07-20 20:41:03,68.75,161.3,42.03,64,18,13.0,few clouds
59,Saint-Philippe,RE,2022-07-20 20:41:03,-21.3585,55.7679,69.39,80,44,13.82,scattered clouds
60,Sioux Lookout,CA,2022-07-20 20:41:04,50.1001,-91.917,77.07,57,75,12.66,broken clouds
61,Boshnyakovo,RU,2022-07-20 20:41:05,49.6333,142.1667,57.87,86,33,1.7,scattered clouds
62,Cidreira,BR,2022-07-20 20:41:06,-30.1811,-50.2056,61.57,91,0,15.73,clear sky
63,Toora-Khem,RU,2022-07-20 20:41:06,52.4675,96.11,44.62,89,6,0.89,clear sky
64,Ziniare,BF,2022-07-20 20:41:07,12.5822,-1.2983,78.84,70,31,7.38,scattered clouds
65,Punta Arenas,CL,2022-07-20 20:36:58,-53.15,-70.9167,35.62,80,75,24.16,light shower snow
66,Progreso,MX,2022-07-20 20:41:08,21.2833,-89.6667,98.11,67,2,18.01,clear sky
67,Sola,VU,2022-07-20 20:41:08,-13.8833,167.55,80.76,80,47,19.66,scattered clouds
68,Guerrero Negro,MX,2022-07-20 20:41:09,27.9769,-114.0611,84.29,42,16,14.9,few clouds
69,Coari,BR,2022-07-20 20:41:09,-4.085,-63.1414,84.16,59,93,1.83,light rain
70,Caravelas,BR,2022-07-20 20:41:10,-17.7125,-39.2481,71.44,77,2,6.64,clear sky
71,Shahpura,IN,2022-07-20 20:41:11,27.3833,75.9667,81.54,78,100,5.73,overcast clouds
72,Nchelenge,ZM,2022-07-20 20:41:11,-9.3451,28.734,72.54,53,99,5.37,overcast clouds
73,General Pico,AR,2022-07-20 20:41:12,-35.6566,-63.7568,61.25,41,21,5.41,few clouds
74,Dongsheng,CN,2022-07-20 20:41:12,39.8161,109.9776,68.88,46,4,6.69,clear sky
75,Faanui,PF,2022-07-20 20:41:13,-16.4833,-151.75,77.7,66,0,10.51,clear sky
76,Kununurra,AU,2022-07-20 20:41:13,-15.7667,128.7333,58.98,82,86,0.0,overcast clouds
77,Bambous Virieux,MU,2022-07-20 20:41:14,-20.3428,57.7575,68.25,73,75,12.66,light rain
78,Loten,NO,2022-07-20 20:41:15,60.8171,11.3376,64.49,68,99,3.67,overcast clouds
79,Anadyr,RU,2022-07-20 20:41:15,64.75,177.4833,44.49,70,20,8.95,few clouds
80,Kaitangata,NZ,2022-07-20 20:41:15,-46.2817,169.8464,41.16,82,100,6.44,overcast clouds
81,Hilo,US,2022-07-20 20:37:26,19.7297,-155.09,84.27,91,100,4.61,heavy intensity rain
82,Valparaiso,CL,2022-07-20 20:37:26,-33.0393,-71.6273,62.83,58,0,10.36,clear sky
83,Les Cayes,HT,2022-07-20 20:41:18,18.2,-73.75,86.23,60,1,11.39,clear sky
84,Olinda,BR,2022-07-20 20:41:19,-8.0089,-34.8553,74.93,94,100,9.22,mist
85,Vaini,TO,2022-07-20 20:39:21,-21.2,-175.2,73.56,88,20,8.05,few clouds
86,Half Moon Bay,US,2022-07-20 20:41:19,37.4636,-122.4286,84.06,66,20,18.41,few clouds
87,Kahului,US,2022-07-20 20:41:20,20.8947,-156.47,79.97,78,40,20.71,scattered clouds
88,Malazgirt,TR,2022-07-20 20:41:21,39.1427,42.5401,69.44,25,0,1.34,clear sky
89,Cabra,ES,2022-07-20 20:41:22,37.4725,-4.4421,83.62,26,0,6.71,clear sky
90,Port Elizabeth,ZA,2022-07-20 20:40:37,-33.918,25.5701,57.09,95,75,6.91,light intensity drizzle
91,Uvinza,TZ,2022-07-20 20:42:23,-5.1036,30.3911,68.4,49,5,1.23,clear sky
92,Aripuana,BR,2022-07-20 20:42:24,-9.1667,-60.6333,90.45,31,0,1.36,clear sky
93,Hermanus,ZA,2022-07-20 20:42:25,-34.4187,19.2345,43.81,67,1,3.36,clear sky
94,Kinablangan,PH,2022-07-20 20:42:26,7.6947,126.5503,77.95,83,98,4.18,overcast clouds
95,Nanortalik,GL,2022-07-20 20:42:26,60.1432,-45.2371,51.3,83,15,14.09,few clouds
96,Tasiilaq,GL,2022-07-20 20:42:27,65.6145,-37.6368,44.76,81,55,0.6,broken clouds
97,Ponta Do Sol,PT,2022-07-20 20:42:27,32.6667,-17.1,73.71,81,5,6.98,clear sky
98,Georgetown,MY,2022-07-20 20:39:08,5.4112,100.3354,80.89,95,20,5.01,few clouds
99,Sao Filipe,CV,2022-07-20 20:42:28,14.8961,-24.4956,76.57,88,81,5.95,broken clouds
100,Ambanja,MG,2022-07-20 20:42:28,-13.6833,48.45,66.11,67,31,3.8,scattered clouds
101,Lebu,CL,2022-07-20 20:42:29,-37.6167,-73.65,53.04,96,100,11.03,overcast clouds
102,Asau,RO,2022-07-20 20:42:29,46.4333,26.4,72.52,58,23,5.21,few clouds
103,Hurghada,EG,2022-07-20 20:39:30,27.2574,33.8129,93.24,22,0,5.75,clear sky
104,Galeana,MX,2022-07-20 20:42:30,24.8333,-100.0667,87.51,29,10,13.27,light rain
105,Busselton,AU,2022-07-20 20:42:30,-33.65,115.3333,55.83,94,100,12.66,light rain
106,Maniitsoq,GL,2022-07-20 20:42:31,65.4167,-52.9,45.41,98,100,16.67,moderate rain
107,Bulawayo,ZW,2022-07-20 20:42:32,-20.15,28.5833,57.79,54,75,6.67,broken clouds
108,Montepuez,MZ,2022-07-20 20:42:32,-13.1256,38.9997,60.3,92,0,5.64,clear sky
109,Kavieng,PG,2022-07-20 20:42:32,-2.5744,150.7967,81.16,79,90,11.01,light rain
110,Carnarvon,AU,2022-07-20 20:39:18,-24.8667,113.6333,70.59,79,23,14.63,few clouds
111,Yellowknife,CA,2022-07-20 20:40:46,62.456,-114.3525,66.72,52,75,16.11,broken clouds
112,Cabedelo,BR,2022-07-20 20:42:33,-6.9811,-34.8339,74.07,86,79,10.92,broken clouds
113,Vardo,NO,2022-07-20 20:42:34,70.3705,31.1107,51.78,100,100,0.0,overcast clouds
114,Kondopoga,RU,2022-07-20 20:38:02,62.2057,34.2614,67.69,77,2,9.42,clear sky
115,Thompson,CA,2022-07-20 20:42:18,55.7435,-97.8558,75.36,50,75,19.57,broken clouds
116,Avarua,CK,2022-07-20 20:42:35,-21.2078,-159.775,73.45,68,75,16.11,light rain
117,Velsk,RU,2022-07-20 20:42:35,61.0701,42.0983,53.42,97,30,6.53,scattered clouds
118,Bud,US,2022-07-20 20:42:36,39.447,-86.1758,94.42,61,4,14.74,clear sky
119,Severo-Kurilsk,RU,2022-07-20 20:38:58,50.6789,156.125,52.11,97,98,11.79,light rain
120,Cserkeszolo,HU,2022-07-20 20:42:37,46.8632,20.187,79.09,67,0,1.9,clear sky
121,Cockburn Town,TC,2022-07-20 20:42:37,21.4612,-71.1419,82.26,77,1,20.07,clear sky
122,Hobart,AU,2022-07-20 20:41:17,-42.8794,147.3294,35.26,94,0,8.05,clear sky
123,Bereda,ES,2022-07-20 20:42:38,43.2686,-7.5406,64.42,98,40,6.82,scattered clouds
124,Tura,IN,2022-07-20 20:42:38,25.5198,90.2201,74.5,97,100,5.44,light rain
125,Pevek,RU,2022-07-20 20:42:39,69.7008,170.3133,31.69,90,98,15.21,overcast clouds
126,Balsas,BR,2022-07-20 20:42:39,-7.5325,-46.0356,84.65,26,5,4.18,clear sky
127,Provideniya,RU,2022-07-20 20:41:48,64.3833,-173.3,46.51,76,75,24.61,broken clouds
128,Pangody,RU,2022-07-20 20:42:40,65.85,74.4859,54.1,57,100,11.1,overcast clouds
129,Viedma,AR,2022-07-20 20:42:40,-40.8135,-62.9967,63.99,42,82,24.81,broken clouds
130,Kawalu,ID,2022-07-20 20:42:41,-7.3817,108.2082,71.38,98,89,2.89,overcast clouds
131,Bogoslovka,RU,2022-07-20 20:42:41,53.2084,44.8013,60.73,80,100,6.11,overcast clouds
132,Thinadhoo,MV,2022-07-20 20:42:42,0.5333,72.9333,80.78,75,100,10.02,overcast clouds
133,Iqaluit,CA,2022-07-20 20:42:42,63.7506,-68.5145,49.73,81,75,3.44,broken clouds
134,Fort Nelson,CA,2022-07-20 20:41:56,58.8053,-122.7002,74.79,33,20,2.3,few clouds
135,Bryan,US,2022-07-20 20:41:43,30.6744,-96.37,105.69,34,0,16.11,clear sky
136,Abu Dhabi,AE,2022-07-20 20:41:43,24.4667,54.3667,95.11,62,0,5.75,clear sky
137,Mwene-Ditu,CD,2022-07-20 20:43:44,-7.0,23.45,73.42,40,6,4.07,clear sky
138,Saint-Pierre,RE,2022-07-20 20:43:44,-21.3393,55.4781,69.48,57,0,10.36,clear sky
139,Kautokeino,NO,2022-07-20 20:43:45,69.0125,23.0412,57.09,80,100,10.65,overcast clouds
140,Olafsvik,IS,2022-07-20 20:43:45,64.8945,-23.7142,50.99,75,83,11.03,broken clouds
141,Tuatapere,NZ,2022-07-20 20:43:46,-46.1333,167.6833,42.94,82,100,2.1,overcast clouds
142,Hay River,CA,2022-07-20 20:43:46,60.8156,-115.7999,62.58,77,100,12.66,overcast clouds
143,Shuya,RU,2022-07-20 20:39:05,56.8487,41.3883,54.91,95,99,2.53,overcast clouds
144,Matabungkay,PH,2022-07-20 20:43:47,13.9523,120.6198,80.49,82,88,6.53,overcast clouds
145,Namibe,AO,2022-07-20 20:43:48,-15.1961,12.1522,62.33,83,1,5.84,clear sky
146,Ndele,CF,2022-07-20 20:43:48,8.4109,20.6473,70.0,96,72,1.77,broken clouds
147,Calvinia,ZA,2022-07-20 20:43:48,-31.4707,19.776,43.61,73,0,3.0,clear sky
148,Cassia,BR,2022-07-20 20:43:49,-20.5831,-46.9219,72.07,46,0,4.25,clear sky
149,Mahebourg,MU,2022-07-20 20:43:49,-20.4081,57.7,68.29,73,75,12.66,broken clouds
150,Malayal,PH,2022-07-20 20:43:50,7.208,121.942,79.29,83,99,2.48,overcast clouds
151,Kodiak,US,2022-07-20 20:43:50,57.79,-152.4072,54.91,76,0,5.75,clear sky
152,Pangnirtung,CA,2022-07-20 20:43:51,66.1451,-65.7125,50.0,81,100,8.05,overcast clouds
153,Bredasdorp,ZA,2022-07-20 20:41:51,-34.5322,20.0403,45.81,87,1,4.76,clear sky
154,Abay,KZ,2022-07-20 20:43:51,49.6311,72.8539,70.18,57,64,5.93,broken clouds
155,Cayenne,GF,2022-07-20 20:39:06,4.9333,-52.3333,84.24,1,40,10.36,scattered clouds
156,Barrow,US,2022-07-20 20:43:52,71.2906,-156.7887,51.82,66,100,10.36,overcast clouds
157,Salo,IT,2022-07-20 20:43:52,45.6086,10.531,86.09,47,0,3.71,clear sky
158,Faya,SA,2022-07-20 20:43:53,18.3851,42.4509,68.11,61,100,7.05,overcast clouds
159,Shirpur,IN,2022-07-20 20:43:53,21.35,74.8833,77.5,85,87,13.71,light rain
160,Airai,TL,2022-07-20 20:43:35,-8.9266,125.4092,56.71,94,88,3.53,overcast clouds
161,Del Carmen,PH,2022-07-20 20:43:54,9.8694,125.9697,81.61,80,100,5.82,overcast clouds
162,Nabire,ID,2022-07-20 20:43:54,-3.3667,135.4833,73.08,92,82,4.45,broken clouds
163,Touros,BR,2022-07-20 20:43:55,-5.1989,-35.4608,75.78,81,84,11.92,broken clouds
164,Prince Rupert,CA,2022-07-20 20:43:56,54.3161,-130.3201,57.29,77,100,6.91,overcast clouds
165,Meadow Lake,US,2022-07-20 20:43:05,34.8014,-106.5436,100.4,36,86,10.65,overcast clouds
166,Robertsport,LR,2022-07-20 20:43:56,6.7533,-11.3686,76.33,81,100,15.88,light rain
167,Mount Gambier,AU,2022-07-20 20:43:57,-37.8333,140.7667,39.09,84,2,5.26,clear sky
168,Balancan,MX,2022-07-20 20:43:57,17.8,-91.5333,91.76,49,100,4.92,overcast clouds
169,Lafia,NG,2022-07-20 20:43:58,8.4833,8.5167,73.36,95,100,3.96,light rain
170,Waddan,LY,2022-07-20 20:43:58,29.1614,16.139,82.02,39,0,16.42,clear sky
171,Polunochnoye,RU,2022-07-20 20:43:59,60.8697,60.4153,56.84,98,100,6.04,light rain
172,Businga,CD,2022-07-20 20:43:59,3.3333,20.8833,69.91,98,73,0.92,light rain
173,Hasaki,JP,2022-07-20 20:44:00,35.7333,140.8333,75.6,82,99,8.32,overcast clouds
174,Kaura Namoda,NG,2022-07-20 20:44:00,12.5898,6.5779,76.59,78,100,6.8,moderate rain
175,Jamestown,US,2022-07-20 20:44:01,42.097,-79.2353,88.02,51,40,17.27,scattered clouds
176,San Patricio,US,2022-07-20 20:44:01,28.017,-97.5169,95.09,46,7,21.12,clear sky
177,Kristiinankaupunki,FI,2022-07-20 20:41:30,62.2743,21.376,59.81,74,100,7.58,overcast clouds
178,Boende,CD,2022-07-20 20:44:02,-0.2167,20.8667,75.31,81,54,1.21,broken clouds
179,Codrington,AU,2022-07-20 20:44:03,-38.2667,141.9667,37.76,83,0,7.87,clear sky
180,Namatanai,PG,2022-07-20 20:44:03,-3.6667,152.4333,79.0,79,94,6.33,overcast clouds
181,Srednekolymsk,RU,2022-07-20 20:45:04,67.45,153.6833,46.22,72,100,7.74,overcast clouds
182,Fortuna,US,2022-07-20 20:45:05,40.5982,-124.1573,68.94,72,36,4.0,scattered clouds
183,Nouadhibou,MR,2022-07-20 20:45:05,20.931,-17.0347,69.78,94,40,11.5,scattered clouds
184,Linhares,BR,2022-07-20 20:45:06,-19.3911,-40.0722,69.78,86,12,5.28,few clouds
185,Leningradskiy,RU,2022-07-20 20:45:07,69.3833,178.4167,33.15,98,100,18.77,snow
186,Mar Del Plata,AR,2022-07-20 20:45:08,-38.0023,-57.5575,62.62,48,0,16.11,clear sky
187,Muyezerskiy,RU,2022-07-20 20:45:08,63.9333,31.65,59.65,94,100,5.46,overcast clouds
188,Tezu,IN,2022-07-20 20:45:09,27.9167,96.1667,76.05,98,100,1.86,overcast clouds
189,Cuenca,EC,2022-07-20 20:40:33,-2.8833,-78.9833,64.53,48,75,10.36,broken clouds
190,Avera,US,2022-07-20 20:45:10,33.194,-82.5271,90.37,57,99,5.93,overcast clouds
191,Martapura,ID,2022-07-20 20:45:10,-3.4167,114.85,75.29,100,20,1.14,few clouds
192,Vostok,RU,2022-07-20 20:45:11,46.4856,135.8833,61.11,97,12,2.01,few clouds
193,Matamoros,MX,2022-07-20 20:44:15,25.5333,-103.25,100.83,13,1,4.97,clear sky
194,Mangrol,IN,2022-07-20 20:45:12,21.1167,70.1167,80.37,85,76,17.58,broken clouds
195,Arraial Do Cabo,BR,2022-07-20 20:45:13,-22.9661,-42.0278,73.26,78,20,8.05,few clouds
196,Quatre Cocos,MU,2022-07-20 20:45:14,-20.2078,57.7625,68.11,73,97,20.45,light rain
197,Mishan,CN,2022-07-20 20:45:14,45.55,131.8833,66.4,94,18,3.02,few clouds
