City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-07-18 21:51:00,-46.6,168.3333,44.8,75,100,15.37
1,Payakumbuh,ID,2022-07-18 21:51:01,-0.2202,100.6308,69.53,95,26,2.48
2,Rikitea,PF,2022-07-18 21:51:01,-23.1203,-134.9692,74.71,76,17,12.08
3,Busselton,AU,2022-07-18 21:51:02,-33.65,115.3333,50.29,86,0,8.68
4,Northport,US,2022-07-18 21:51:02,33.229,-87.5772,91.22,46,0,6.91
5,Lorengau,PG,2022-07-18 21:51:03,-2.0226,147.2712,81.86,75,96,4.68
6,Srednekolymsk,RU,2022-07-18 21:51:03,67.45,153.6833,65.52,46,97,7.92
7,Katsuura,JP,2022-07-18 21:51:04,35.1333,140.3,79.21,88,100,19.98
8,Chokurdakh,RU,2022-07-18 21:51:04,70.6333,147.9167,43.07,67,80,13.11
9,Torbay,CA,2022-07-18 21:50:32,47.6666,-52.7314,74.17,65,75,14.97
10,Boksitogorsk,RU,2022-07-18 21:51:05,59.474,33.8485,46.6,98,13,3.44
11,Kirillov,RU,2022-07-18 21:51:06,59.863,38.3813,55.8,81,100,4.45
12,Yellowknife,CA,2022-07-18 21:51:06,62.456,-114.3525,72.12,56,40,9.22
13,Mataura,NZ,2022-07-18 21:51:07,-46.1927,168.8643,44.47,97,100,1.03
14,Atuona,PF,2022-07-18 21:51:07,-9.8,-139.0333,77.88,66,55,17.27
15,Geraldton,AU,2022-07-18 21:51:08,-28.7667,114.6,55.81,88,100,11.5
16,Taoudenni,ML,2022-07-18 21:51:08,22.6783,-3.9836,100.26,6,0,6.04
17,Tasiilaq,GL,2022-07-18 21:51:09,65.6145,-37.6368,39.16,83,53,1.81
18,Punta Arenas,CL,2022-07-18 21:53:22,-53.15,-70.9167,41.11,75,75,29.93
19,Wisconsin Rapids,US,2022-07-18 21:51:10,44.3836,-89.8174,91.69,55,20,10.36
20,Lebu,CL,2022-07-18 21:51:10,-37.6167,-73.65,45.73,74,91,5.64
21,Hermiston,US,2022-07-18 21:51:10,45.8404,-119.2895,85.8,27,0,9.22
22,New Norfolk,AU,2022-07-18 21:51:11,-42.7826,147.0587,42.93,87,83,2.91
23,Itarema,BR,2022-07-18 21:51:11,-2.9248,-39.9167,78.24,71,23,15.77
24,Barrow,US,2022-07-18 21:51:12,71.2906,-156.7887,44.62,76,100,26.46
25,Jibuti,DJ,2022-07-18 21:48:08,11.5,42.5,89.67,33,84,3.38
26,Vila Velha,BR,2022-07-18 21:53:24,-20.3297,-40.2925,75.15,83,0,6.91
27,Albany,US,2022-07-18 21:49:34,42.6001,-73.9662,77.65,87,100,1.01
28,Yelizovo,RU,2022-07-18 21:51:14,53.1873,158.3805,55.54,100,100,4.47
29,San Pedro,PH,2022-07-18 21:53:26,14.35,121.0167,78.31,91,40,1.14
30,Orasac,BA,2022-07-18 21:51:14,44.6289,16.0711,61.75,46,0,1.63
31,Vaini,TO,2022-07-18 21:51:15,-21.2,-175.2,75.36,88,75,10.36
32,Upernavik,GL,2022-07-18 21:51:15,72.7868,-56.1549,43.92,75,100,0.38
33,Ushuaia,AR,2022-07-18 21:51:16,-54.8,-68.3,44.26,53,40,11.5
34,Coihueco,CL,2022-07-18 21:51:17,-36.6167,-71.8333,52.54,66,0,4.61
35,Carnarvon,AU,2022-07-18 21:51:17,-24.8667,113.6333,61.05,67,0,14.23
36,Georgetown,MY,2022-07-18 21:51:18,5.4112,100.3354,82.33,89,40,0.0
37,Tezu,IN,2022-07-18 21:53:28,27.9167,96.1667,75.69,99,100,1.83
38,Along,IN,2022-07-18 21:53:28,28.1667,94.7667,75.38,100,100,0.85
39,Ocos,GT,2022-07-18 21:53:29,14.5094,-92.1933,85.33,69,41,6.13
40,Tiksi,RU,2022-07-18 21:53:29,71.6872,128.8694,34.81,94,100,16.75
41,Kushmurun,KZ,2022-07-18 21:53:30,52.4503,64.6311,65.73,83,0,4.43
42,Ostrovnoy,RU,2022-07-18 21:53:30,68.0531,39.5131,53.62,88,6,9.01
43,Bredasdorp,ZA,2022-07-18 21:53:31,-34.5322,20.0403,54.28,85,100,2.04
44,Namibe,AO,2022-07-18 21:53:31,-15.1961,12.1522,65.52,84,72,4.18
45,Saskylakh,RU,2022-07-18 21:53:31,71.9167,114.0833,44.58,77,100,12.86
46,Hermanus,ZA,2022-07-18 21:54:32,-34.4187,19.2345,53.8,83,99,4.34
47,Vila Franca Do Campo,PT,2022-07-18 21:54:32,37.7167,-25.4333,70.21,90,38,2.04
48,Makakilo City,US,2022-07-18 21:54:33,21.3469,-158.0858,86.32,64,75,16.11
49,Guerrero Negro,MX,2022-07-18 21:54:33,27.9769,-114.0611,82.74,47,3,12.73
50,Port Alfred,ZA,2022-07-18 21:54:34,-33.5906,26.891,64.9,57,86,8.81
51,Cape Town,ZA,2022-07-18 21:52:53,-33.9258,18.4232,56.91,80,0,7.0
52,Ilulissat,GL,2022-07-18 21:54:35,69.2167,-51.1,45.77,73,12,6.82
53,Gizo,SB,2022-07-18 21:54:35,-8.103,156.8419,82.58,68,77,5.79
54,Seymchan,RU,2022-07-18 21:54:36,62.8833,152.4333,72.72,60,62,3.69
55,Neiafu,TO,2022-07-18 21:54:36,-18.65,-173.9833,79.48,73,40,12.66
56,Deputatskiy,RU,2022-07-18 21:54:37,69.3,139.9,41.94,87,100,4.05
57,Los Llanos De Aridane,ES,2022-07-18 21:54:37,28.6585,-17.9182,69.55,93,0,18.41
58,Hobart,AU,2022-07-18 21:54:37,-42.8794,147.3294,43.27,85,75,8.05
59,Qaanaaq,GL,2022-07-18 21:54:38,77.484,-69.3632,45.82,56,0,4.56
60,Luderitz,NA,2022-07-18 21:54:38,-26.6481,15.1594,57.54,85,0,13.0
61,Fortuna,US,2022-07-18 21:54:08,40.5982,-124.1573,73.85,66,18,5.01
62,Mount Isa,AU,2022-07-18 21:54:39,-20.7333,139.5,53.37,50,0,9.22
63,Kaitangata,NZ,2022-07-18 21:54:40,-46.2817,169.8464,46.06,92,100,8.43
64,Kristinehamn,SE,2022-07-18 21:54:40,59.3098,14.1081,61.36,90,76,4.72
65,Abu Samrah,SY,2022-07-18 21:54:40,35.3029,37.1841,80.69,47,0,8.01
66,Pangnirtung,CA,2022-07-18 21:54:41,66.1451,-65.7125,44.6,81,75,14.97
67,Gushikawa,JP,2022-07-18 21:54:41,26.3544,127.8686,83.79,84,40,6.91
68,Chicama,PE,2022-07-18 21:54:42,-7.8447,-79.1469,59.54,67,28,7.85
69,Igarka,RU,2022-07-18 21:54:42,67.4667,86.5833,53.8,70,100,6.89
70,Ribeira Grande,PT,2022-07-18 21:54:43,38.5167,-28.7,73.02,90,23,6.31
71,Port Elizabeth,ZA,2022-07-18 21:54:43,-33.918,25.5701,63.32,90,75,3.44
72,Luau,AO,2022-07-18 21:54:44,-10.7073,22.2247,61.39,40,12,7.23
73,Vanino,RU,2022-07-18 21:54:44,49.0869,140.2543,55.99,99,100,2.13
74,Saldanha,ZA,2022-07-18 21:54:45,-33.0117,17.9442,50.05,79,0,11.16
75,Tuktoyaktuk,CA,2022-07-18 21:54:45,69.4541,-133.0374,62.6,82,100,11.5
76,Kapaa,US,2022-07-18 21:54:46,22.0752,-159.319,84.52,76,75,21.85
77,Iqaluit,CA,2022-07-18 21:54:46,63.7506,-68.5145,42.53,86,75,8.05
78,Aguimes,ES,2022-07-18 21:54:47,27.9054,-15.4461,70.43,73,20,27.63
79,Ust-Koksa,RU,2022-07-18 21:54:47,50.2696,85.6108,43.66,89,37,1.39
80,Mar Del Plata,AR,2022-07-18 21:54:48,-38.0023,-57.5575,48.87,78,0,8.01
81,Provideniya,RU,2022-07-18 21:54:48,64.3833,-173.3,42.91,81,100,13.42
82,Pisco,PE,2022-07-18 21:54:49,-13.7,-76.2167,64.45,72,0,8.05
83,Avarua,CK,2022-07-18 21:54:49,-21.2078,-159.775,75.25,73,40,5.75
84,Brae,GB,2022-07-18 21:54:50,60.3964,-1.353,55.54,87,72,7.4
85,Pevek,RU,2022-07-18 21:54:50,69.7008,170.3133,33.04,80,100,2.53
86,Maceio,BR,2022-07-18 21:54:50,-9.6658,-35.7353,78.24,78,40,9.22
87,Arraial Do Cabo,BR,2022-07-18 21:54:51,-22.9661,-42.0278,71.46,88,20,4.61
88,Sao Filipe,CV,2022-07-18 21:54:51,14.8961,-24.4956,75.97,81,20,10.42
89,Faro,PT,2022-07-18 21:54:52,37.0194,-7.9322,76.78,44,0,9.22
90,Bethel,US,2022-07-18 21:53:38,41.3712,-73.414,77.54,92,75,9.22
91,Kodiak,US,2022-07-18 21:54:52,57.79,-152.4072,56.32,77,95,6.96
92,Yarmouth,US,2022-07-18 21:55:53,41.7057,-70.2286,76.96,95,100,9.22
93,Guaruja,BR,2022-07-18 21:54:14,-23.9931,-46.2564,67.86,94,100,3.44
94,Roald,NO,2022-07-18 21:55:54,62.5833,6.1333,58.75,76,75,9.22
95,Tual,ID,2022-07-18 21:55:54,-5.6667,132.75,79.54,81,34,19.51
96,Beloha,MG,2022-07-18 21:55:55,-25.1667,45.05,63.1,82,0,10.27
97,Hasaki,JP,2022-07-18 21:55:55,35.7333,140.8333,81.0,85,100,13.22
98,Abu Dhabi,AE,2022-07-18 21:52:19,24.4667,54.3667,96.91,59,0,4.61
99,Ketchikan,US,2022-07-18 21:55:56,55.3422,-131.6461,59.47,81,97,6.64
100,Jamestown,US,2022-07-18 21:53:05,42.097,-79.2353,74.95,85,100,13.8
101,Asau,RO,2022-07-18 21:55:57,46.4333,26.4,60.96,77,94,3.15
102,Nikolskoye,RU,2022-07-18 21:55:58,59.7035,30.7861,56.8,92,49,4.52
103,Saint-Philippe,RE,2022-07-18 21:55:58,-21.3585,55.7679,69.39,84,63,17.92
104,Cabo San Lucas,MX,2022-07-18 21:55:58,22.8909,-109.9124,91.18,64,11,11.1
105,Samarai,PG,2022-07-18 21:55:59,-10.6167,150.6667,79.74,83,22,8.88
106,Alofi,NU,2022-07-18 21:55:59,-19.0595,-169.9187,76.89,73,75,14.97
107,Camana,PE,2022-07-18 21:56:00,-16.6228,-72.7111,62.69,78,73,8.48
108,Nemuro,JP,2022-07-18 21:56:00,43.3236,145.575,60.48,99,100,6.71
109,Launceston,AU,2022-07-18 21:56:01,-41.45,147.1667,32.14,90,100,3.44
110,Coquimbo,CL,2022-07-18 21:56:01,-29.9533,-71.3436,58.73,77,0,8.05
111,Blagoveshchenka,RU,2022-07-18 21:56:02,52.8333,79.8667,54.61,83,26,7.02
112,Tommot,RU,2022-07-18 21:56:02,58.9564,126.2925,67.15,88,64,1.5
113,Mehamn,NO,2022-07-18 21:56:03,71.0357,27.8492,58.95,72,0,4.61
114,Nishihara,JP,2022-07-18 21:56:03,26.1842,127.7558,83.68,89,75,11.5
115,Puerto Ayora,EC,2022-07-18 21:56:04,-0.7393,-90.3518,76.96,90,96,5.99
116,San Vicente,AR,2022-07-18 21:56:04,-26.6167,-54.1333,55.44,98,100,1.41
117,Souillac,MU,2022-07-18 21:56:05,-20.5167,57.5167,66.58,88,40,17.27
118,Khatanga,RU,2022-07-18 21:56:05,71.9667,102.5,52.84,75,100,1.59
119,Dingle,PH,2022-07-18 21:56:06,10.9995,122.6711,75.0,96,100,5.93
120,Hauterive,FR,2022-07-18 21:56:06,46.0901,3.4459,74.16,45,0,2.62
